,cost_for_two,cuisines,locality,rating,rest_name,votes
1792,500,"['North Indian', 'Chinese', 'Seafood']",Koramangala 4th Block,                                         3.9                                     ,Savitha Family Restaurant                                     ,281
1793,150,['Lebanese'],Thippasandra,                                         3.7                                     ,Absolute Shawarma                                     ,36
1794,300,"['South Indian', 'North Indian', 'Street Food', 'Chinese']",Koramangala 8th Block,                                         4.1                                     ,Sagar Fast Food                                     ,196
1795,"1,200","['Finger Food', 'North Indian', 'Chinese', 'Continental']","Torq03, Marathahalli",                                         4.0                                     ,The Podium Sports Bar                                     ,108
1796,"1,400",['Korean'],Kammanahalli,                                         4.0                                     ,Arirang Korean Restaurant                                     ,290
1797,200,['North Indian'],Rajarajeshwari Nagar,                                         3.4                                     ,Delhi Chats                                     ,20
1798,"1,100",['Finger Food'],Brigade Road,                                         4.1                                     ,Pecos                                     ,613
1799,500,"['Cafe', 'North Indian', 'Italian', 'Fast Food', 'Beverages']",Indiranagar,                                         3.9                                     ,Cafe Cofix                                     ,25
1800,500,"['North Indian', 'Chinese', 'Fast Food']",Jalahalli,                                         3.3                                     ,Chicken World                                     ,11
1801,"1,400",['South Indian'],"Renaissance Hotel, Race Course Road",                                         4.1                                     ,"R Bar - Renaissance Hotel, Bengaluru                                     ",247
1802,600,"['Kerala', 'Biryani', 'Seafood', 'Chinese']",Jeevan Bhima Nagar,                                         4.0                                     ,Green Pepper                                     ,317
1803,"2,500","['Asian', 'Chinese']","Sheraton Grand Bengaluru, Whitefield",                                         4.3                                     ,InAzia - Sheraton Grand Bengaluru Whitefield Hotel &...                                     ,323
1804,700,"['Cafe', 'Continental', 'Pizza', 'Salad']",HSR,                                         4.2                                     ,Sector 7 Café                                     ,1237
1805,450,"['Fast Food', 'Burger', 'Bakery']",Marathahalli,                                         3.3                                     ,Starks Kitchen                                     ,6
1806,800,"['Chinese', 'Asian', 'Japanese']",Koramangala 4th Block,                                         4.2                                     ,Pot-O-Noodles                                     ,450
1807,"1,000","['American', 'Continental', 'Steak', 'Salad']","Amoeba Complex, Brigade Road",                                         4.0                                     ,20 Feet High                                     ,1009
1808,"3,000",['Asian'],"Taj, MG Road",                                         4.3                                     ,Memories of China - Taj MG Road Bengaluru                                     ,495
1809,"3,000",['Asian'],"Taj, MG Road",                                         4.3                                     ,Memories of China - Taj MG Road Bengaluru                                     ,495
1810,"1,000","['North Eastern', 'Asian', 'Naga', 'Steak', 'Momos']",Church Street,                                         4.3                                     ,Somilan Steak House                                     ,737
1811,300,"['South Indian', 'Biryani', 'North Indian']",Kammanahalli,                                         4.2                                     ,Sangam Mess                                     ,311
1812,450,"['South Indian', 'Biryani']",Indiranagar,                                         3.9                                     ,Gowdru Hotel                                     ,239
1813,400,"['Biryani', 'North Indian', 'Chinese']",Banaswadi,                                         3.8                                     ,Donne Biryani Kuteera                                     ,334
1814,150,['South Indian'],Marathahalli,                                         3.2                                     ,Hubballi Girmit                                     ,4
1815,250,"['Fast Food', 'Street Food']",Marathahalli,                                         3.2                                     ,Break Time Bakes & Cafe                                     ,4
1816,300,['North Indian'],BTM,                                         3.3                                     ,Punjabi Rasoi                                     ,6
1817,400,"['Italian', 'Fast Food']",Koramangala 1st Block,                                         3.6                                     ,Fresh Bites                                     ,19
1818,350,"['North Indian', 'Chinese']",Kaggadasapura,                                         3.1                                     ,New Tandoor Fusion                                     ,4
1819,650,"['Continental', 'Pizza', 'Fast Food']",Frazer Town,                                         2.9                                     ,Ice & Spice                                     ,97
1820,300,"['Fast Food', 'Beverages']",BTM,                                         3.2                                     ,Food Affair                                     ,5
1821,400,['Chinese'],Bellandur,                                         3.2                                     ,Noodle Oodle                                     ,4
1822,400,"['Iranian', 'Afghan']",Jeevan Bhima Nagar,                                         4.0                                     ,Slice Of Spice Signature                                     ,26
1823,"2,000","['Continental', 'Chinese', 'Fast Food', 'North Indian']",Brigade Road,                                         4.0                                     ,Le Rock                                     ,1279
1824,200,"['Street Food', 'Mithai']",Jeevan Bhima Nagar,                                         3.6                                     ,Laddoos                                     ,247
1825,300,"['South Indian', 'North Indian', 'Chinese']",RT Nagar,                                         3.7                                     ,Sri Udupi Grand                                     ,32
1826,600,"['Mangalorean', 'Chinese', 'North Indian']",Shanti Nagar,                                         4.1                                     ,Anupam's Coastal Express                                     ,246
1827,700,"['North Indian', 'Chinese', 'Seafood']",Malleshwaram,                                         3.7                                     ,New Kadai                                     ,58
1828,250,"['Chinese', 'Tibetan', 'Momos']",Koramangala 5th Block,                                         4.0                                     ,Momo Hut                                     ,721
1829,600,"['Pizza', 'Italian']",JP Nagar,                                         3.3                                     ,Pizza Crusto                                     ,5
1830,250,"['Beverages', 'Sandwich', 'Healthy Food']",Koramangala 1st Block,                                         4.1                                     ,Prezzed Juicery                                     ,80
1831,400,"['South Indian', 'Biryani', 'North Indian', 'Fast Food']",Jakkur,                                         3.8                                     ,NH 53                                     ,46
1832,300,"['South Indian', 'North Indian', 'Chinese']",KR Puram,                                         3.8                                     ,New Udupi Garden                                     ,84
1833,350,"['North Indian', 'South Indian']",BTM,                                         3.8                                     ,The Daily Bowl                                     ,17
1834,300,"['Bakery', 'Desserts']",Malleshwaram,                                         3.8                                     ,Sweet Truth                                     ,30
1835,250,"['Fast Food', 'Street Food']",BTM,                                         3.5                                     ,Snack Me                                     ,13
1836,500,"['North Indian', 'Chinese', 'Mughlai']",Shivajinagar,                                         3.9                                     ,Hamza Hotel                                     ,299
1837,150,['Fast Food'],Rajajinagar,                                         3.7                                     ,It's Just Pork                                     ,33
1838,300,"['South Indian', 'North Indian', 'Chinese']",HSR,                                         3.9                                     ,Hotel Arogya                                     ,50
1839,500,"['Tibetan', 'Chinese', 'Thai']",Koramangala 7th Block,                                         4.1                                     ,Tibetan Mother's Kitchen                                     ,1045
1840,700,"['Hyderabadi', 'Biryani', 'North Indian', 'Chinese']",Kaggadasapura,                                         3.9                                     ,Royal Biriyani House                                     ,283
1841,500,['Chinese'],Marathahalli,                                         4.1                                     ,Fang Zi Of Chinese                                     ,74
1842,"1,000","['North Indian', 'Chinese', 'Kerala', 'Mughlai', 'Arabian', 'Beverages']",Domlur,                                         2.8                                     ,The Paramount Hotel                                     ,392
1843,500,"['Biryani', 'Andhra']","Ascendas Park Square, Whitefield",                                         4.3                                     ,Deccan Paradise                                     ,460
1844,550,"['North Indian', 'Chinese', 'Biryani']",Sarjapur Road,                                         3.8                                     ,Riddhi Food Grand                                     ,42
1845,700,"['Kerala', 'Biryani', 'Seafood']",Electronic City,                                         4.0                                     ,Tharavadu Family Restaurant                                     ,148
1846,500,['Healthy Food'],Bellandur,                                         3.9                                     ,Nutrivores                                     ,67
1847,300,['Fast Food'],Koramangala 5th Block,                                         4.2                                     ,Chaska Bun                                     ,203
1848,700,"['Andhra', 'Biryani']",Whitefield,                                         3.9                                     ,Biryani Paradise                                     ,177
1849,200,['South Indian'],Brookefield,                                         4.3                                     ,Real Fresh Dosa Corner                                     ,342
1850,400,"['South Indian', 'North Indian', 'Chinese']",Rammurthy Nagar,                                         3.9                                     ,New Krishna Sagar                                     ,106
1851,400,"['South Indian', 'North Indian', 'Chinese']",Marathahalli,                                         4.1                                     ,Udupi Vaibhav                                     ,159
1852,500,"['Cafe', 'Street Food', 'Tea', 'Beverages']",Koramangala 7th Block,                                         3.9                                     ,Tata Cha                                     ,106
1853,400,"['Andhra', 'Chinese', 'North Indian', 'Biryani', 'Beverages']",Whitefield,                                         2.8                                     ,Krutunga Restaurant                                     ,106
1854,700,"['South Indian', 'North Indian', 'Fast Food', 'Chinese', 'BBQ', 'Beverages', 'Coffee', 'Desserts']",Magadi Road,                                         4.0                                     ,Vayam Veg Fine Dine                                     ,167
1855,"1,200","['Asian', 'Continental']","JW Marriott Bengaluru, Lavelle Road",                                         3.6                                     ,Merak-JW Marriott Hotel                                     ,8
1856,300,"['North Indian', 'Chinese', 'Rolls', 'Biryani']",Vijay Nagar,                                         3.9                                     ,Savji's Roll 'N' Biryani                                     ,532
1857,"1,000","['North Indian', 'Arabian']",Marathahalli,                                         3.8                                     ,Punjabi Canteen                                     ,30
1858,250,"['South Indian', 'Biryani', 'Fast Food']",Electronic City,                                         3.7                                     ,Naati Mane                                     ,25
1859,"1,000","['Cafe', 'Italian', 'Chinese']",JP Nagar,                                         4.0                                     ,D View Cafe                                     ,573
1860,800,"['North Indian', 'Mughlai', 'Afghan', 'Biryani']",Residency Road,                                         3.9                                     ,Pashto                                     ,1026
1861,500,"['Asian', 'Chinese', 'Thai', 'Seafood', 'Momos']",Kalyan Nagar,                                         4.2                                     ,Wokanaka - The Casual Chinese Pitstop                                     ,277
1862,"1,200","['South Indian', 'Andhra', 'Chinese']",Hotel Ramanashree,                                         4.1                                     ,Kudla - Hotel Ramanashree                                     ,382
1863,300,"['Bakery', 'Desserts']",Kaggadasapura,                                         3.9                                     ,Cremee                                     ,169
1864,300,"['Lebanese', 'Arabian']",Kalyan Nagar,                                         4.1                                     ,Agape                                     ,155
1865,"1,300","['Continental', 'Finger Food']",Marathahalli,                                         4.1                                     ,Dive                                     ,923
1866,300,"['Desserts', 'Bakery']",Koramangala 4th Block,                                         4.1                                     ,Cupcake Noggins                                     ,758
1867,900,"['Andhra', 'Seafood', 'Biryani']",HSR,                                         4.0                                     ,Samaikya                                     ,617
1868,600,"['Chinese', 'North Indian']",New BEL Road,                                         3.7                                     ,Cafe Mandala                                     ,114
1869,"1,000","['Cafe', 'Healthy Food', 'South Indian', 'Beverages']",Jayanagar,                                         4.1                                     ,Hungry Buffalo                                     ,109
1870,300,"['Chinese', 'North Indian']",Electronic City,                                         3.7                                     ,Desi Dhaba                                     ,355
1871,700,"['North Indian', 'Chinese', 'Mughlai']",Shivajinagar,                                         4.0                                     ,New Hilal Restaurant                                     ,139
1872,800,"['Cafe', 'Continental']",New BEL Road,                                         4.0                                     ,Plated                                     ,765
1873,400,"['Desserts', 'Beverages']",JP Nagar,                                         4.1                                     ,Kurtos Bake House                                     ,16
1874,700,"['Turkish', 'Lebanese', 'Mediterranean']",Koramangala 5th Block,                                         4.1                                     ,Manakish                                     ,43
1875,400,"['South Indian', 'North Indian', 'Chinese']",JP Nagar,                                         3.9                                     ,Shanthi Sagar                                     ,567
1876,300,"['Biryani', 'Kebab']",Frazer Town,                                         3.1                                     ,Ambur Biryani                                     ,4
1877,450,"['Hyderabadi', 'North Indian', 'Chinese']",Indiranagar,                                         3.6                                     ,Black & White Biryanis                                     ,43
1878,400,"['Cafe', 'Italian', 'Beverages']",BTM,                                         3.2                                     ,Cafe Coca                                     ,4
1879,400,['Chinese'],"RMZ Ecoworld, Bellandur",                                         3.3                                     ,Noodles                                     ,4
1880,500,"['North Indian', 'Fast Food', 'Chinese']",HSR,                                         3.6                                     ,Midnight Special                                     ,25
1881,300,"['Chinese', 'Biryani']",BTM,                                         3.1                                     ,Eat Night                                     ,26
1882,150,"['Beverages', 'Fast Food']",BTM,                                         3.4                                     ,Juice 99                                     ,28
1883,400,"['North Indian', 'Continental', 'Italian']",Banashankari,                                         3.8                                     ,Hotboxit                                     ,38
1884,350,"['Bakery', 'Desserts']",JP Nagar,                                         3.8                                     ,Cariocake                                     ,62
1885,500,"['Fast Food', 'Beverages']","Forum Mall, Koramangala",                                         3.0                                     ,PVR                                     ,4
1886,300,"['Desserts', 'Fast Food']",Sarjapur Road,                                         3.6                                     ,Heavenly Desserts                                     ,14
1887,250,['South Indian'],Banaswadi,                                         3.2                                     ,Hotel Chirag                                     ,4
1888,500,"['North Indian', 'Chinese', 'Andhra']",Whitefield,                                         3.5                                     ,Kitchen Rabbit                                     ,28
1889,500,"['Andhra', 'Chinese', 'Biryani']",HSR,                                         3.0                                     ,Mark                                     ,43
1890,400,"['Bakery', 'Desserts']",Frazer Town,                                         4.3                                     ,The Sugar Fairy                                     ,260
1891,200,"['Fast Food', 'Street Food', 'Beverages']",Banashankari,                                         3.7                                     ,VadaWala                                     ,24
1892,600,"['North Indian', 'South Indian', 'Chinese', 'Street Food']",Basavanagudi,                                         3.8                                     ,Grand Village                                     ,193
1893,700,"['Biryani', 'Kebab', 'Chinese', 'North Indian']",Nagarbhavi,                                         4.0                                     ,Kabab Factory                                     ,295
1894,300,"['Fast Food', 'Bakery', 'Street Food']",Malleshwaram,                                         3.8                                     ,The Higher Taste Stores                                     ,145
1895,300,['North Indian'],Bellandur,                                         3.8                                     ,Aapni Rasoi                                     ,158
1896,250,['Biryani'],JP Nagar,                                         4.0                                     ,Marenahalli Donne Biriyani                                     ,353
1897,300,"['North Indian', 'South Indian', 'Street Food']",Vijay Nagar,                                         3.8                                     ,Sai Prasadham                                     ,101
1898,250,"['Burger', 'Fast Food']",BTM,                                         3.8                                     ,Burger Time                                     ,35
1899,300,['North Indian'],Kalyan Nagar,                                         4.1                                     ,7 Pind                                     ,123
1900,300,"['North Indian', 'Chinese']",Whitefield,                                         3.7                                     ,Kabab Mandra                                     ,68
1901,400,"['Biryani', 'North Indian', 'Chinese']",Kalyan Nagar,                                         3.8                                     ,Donne Biriyani Mane                                     ,257
1902,400,['North Indian'],Koramangala 1st Block,                                         3.3                                     ,Xpress Dhaba                                     ,13
1903,300,['Burger'],BTM,                                         4.0                                     ,Burger Toll                                     ,51
1904,250,['South Indian'],Majestic,                                         3.5                                     ,Chetty's Coffee                                     ,13
1905,400,"['South Indian', 'Kerala', 'Mughlai', 'Street Food', 'Seafood']",Koramangala 1st Block,                                         3.7                                     ,Simply South By YummyEats                                     ,31
1906,500,"['Kerala', 'Seafood']",Indiranagar,                                         3.9                                     ,Shaap                                     ,283
1907,500,"['Biryani', 'North Indian', 'Chinese']",BTM,                                         3.8                                     ,Biryani Crafts                                     ,67
1908,300,"['South Indian', 'North Indian']",Bannerghatta Road,                                         4.0                                     ,Kalpavruksha                                     ,133
1909,600,"['North Indian', 'Chinese', 'Biryani']",Whitefield,                                         3.4                                     ,Biryani Bites                                     ,9
1910,200,"['Fast Food', 'Rolls', 'Street Food', 'Beverages']",Hebbal,                                         3.3                                     ,Cafe 99                                     ,14
1911,600,"['Bakery', 'Fast Food', 'Beverages', 'Desserts']",Indiranagar,                                         4.0                                     ,Karachi Bakery                                     ,120
1912,350,"['Street Food', 'Mithai', 'North Indian', 'Fast Food', 'Desserts']",Marathahalli,                                         3.9                                     ,Chatpatlal Sweets & Snacks                                     ,402
1913,600,['South Indian'],Basavanagudi,                                         4.1                                     ,Udupi Sri Krishna Bhavan                                     ,269
1914,250,"['Desserts', 'Ice Cream', 'Fast Food', 'Beverages']",Jalahalli,                                         3.4                                     ,Pannaga Cool Touch                                     ,12
1915,250,"['North Indian', 'Chinese']",Jalahalli,                                         3.5                                     ,Bismilla Star Biriyani                                     ,25
1916,200,"['Juices', 'Fast Food']",Rammurthy Nagar,                                         3.7                                     ,The Juice Box                                     ,17
1917,250,['Fast Food'],Electronic City,                                         3.5                                     ,Only Maggi                                     ,48
1918,250,['Tea'],New BEL Road,                                         4.0                                     ,Modified Tea                                     ,144
1919,500,"['North Indian', 'Chinese']",Whitefield,                                         2.7                                     ,Nitehunger                                     ,128
1920,250,"['Rolls', 'Chinese']",Brigade Road,                                         3.2                                     ,Shadow Kolkata Katti Rolls & Momos                                     ,7
1921,400,"['Italian', 'Mexican']",HSR,                                         4.0                                     ,Firangi Bake                                     ,98
1922,300,"['Desserts', 'Ice Cream', 'Beverages', 'Bakery']",Seshadripuram,                                         4.4                                     ,Mama Mia!                                     ,169
1923,500,"['Healthy Food', 'Beverages', 'Salad', 'Juices']",Koramangala 7th Block,                                         4.0                                     ,Healthie                                     ,134
1924,"1,500","['European', 'American', 'Continental', 'North Indian', 'Steak']",Koramangala 4th Block,                                         4.0                                     ,Cilantro                                     ,297
1925,250,"['North Indian', 'Fast Food', 'Street Food', 'Desserts']",Banaswadi,                                         3.9                                     ,29 Degrees North                                     ,318
1926,100,['South Indian'],Jayanagar,                                         4.4                                     ,Dose Manjanna                                     ,74
1927,500,"['Mangalorean', 'Seafood', 'Chinese', 'North Indian']",Vijay Nagar,                                         4.0                                     ,Mangalore Kitchen                                     ,110
1928,800,"['Biryani', 'Kerala', 'Seafood', 'South Indian']",Residency Road,                                         4.1                                     ,No 10 Fort Cochin                                     ,54
1929,400,"['Italian', 'Mexican']",Malleshwaram,                                         3.8                                     ,Firangi Bake                                     ,28
1930,950,"['North Indian', 'Continental', 'Chinese']",JP Nagar,                                         3.7                                     ,Inchara                                     ,563
1931,"1,500","['Continental', 'North Indian', 'Chinese']",Infantry Road,                                         4.0                                     ,MoXa Bistro                                     ,45
1932,450,"['South Indian', 'Andhra']",HSR,                                         3.6                                     ,NTR - Nellore Tiffin Room                                     ,18
1933,500,"['Biryani', 'North Indian', 'Chinese']",HBR Layout,                                         3.6                                     ,Magic Spices Biryani House                                     ,31
1934,400,['Andhra'],Brookefield,                                         3.6                                     ,Vijay Kitchen                                     ,13
1935,200,['North Indian'],Sarjapur Road,                                         3.7                                     ,Take EAT Easy                                     ,33
1936,"1,600","['Continental', 'European', 'Italian']",Nagawara,                                         3.9                                     ,Slug                                     ,383
1937,450,"['Bakery', 'Desserts', 'Beverages']",BTM,                                         4.3                                     ,LayerBite                                     ,52
1938,"1,350","['North Indian', 'Chinese', 'Pizza', 'Continental', 'Beverages']",Koramangala 5th Block,                                         4.2                                     ,Beer Adda                                     ,743
1939,200,"['Beverages', 'Juices', 'Ice Cream']",Shivajinagar,                                         3.9                                     ,Savera Lassi Shop                                     ,38
1940,250,"['Fast Food', 'Beverages']",Yelahanka,                                         3.6                                     ,The Burger Shop                                     ,27
1941,600,"['Bakery', 'Continental', 'Pizza', 'Desserts']",Brookefield,                                         4.0                                     ,Chef Baker's                                     ,577
1942,300,"['Maharashtrian', 'Beverages']",HSR,                                         4.0                                     ,Mast Marathi                                     ,63
1943,250,"['South Indian', 'North Indian', 'Chinese', 'Juices']",Ulsoor,                                         4.1                                     ,Shanthi Sagar                                     ,282
1944,500,"['Desserts', 'Beverages']",BTM,                                         4.4                                     ,XO Belgian Waffle                                     ,719
1945,400,"['Beverages', 'Desserts']",Koramangala 5th Block,                                         4.5                                     ,Makers of Milkshakes                                     ,107
1946,300,"['North Indian', 'Chinese']",Electronic City,                                         3.9                                     ,Delhi Base Sri Food Court                                     ,612
1947,300,"['North Indian', 'Chinese']",Whitefield,                                         3.8                                     ,Roti Ghar Ki                                     ,297
1948,300,"['South Indian', 'Chinese', 'North Indian']",New BEL Road,                                         4.1                                     ,Shanthi Sagar                                     ,151
1949,150,"['Street Food', 'North Indian']",BTM,                                         3.7                                     ,MasalDaani                                     ,20
1950,700,"['Chinese', 'North Indian']",Hebbal,                                         3.6                                     ,Krutunga Restaurant                                     ,62
1951,800,"['North Indian', 'Street Food']",Indiranagar,                                         3.9                                     ,Imli                                     ,1910
1952,400,"['North Indian', 'Chinese', 'Biryani']",Marathahalli,                                         3.7                                     ,Sher-E-Punjab                                     ,573
1953,"1,500","['North Indian', 'Mughlai', 'Mediterranean']","Citrus Hotels, Cunningham Road",                                         4.0                                     ,Skylit - Citrus Hotels                                     ,386
1954,250,"['Lebanese', 'Beverages']",Koramangala 1st Block,                                         3.3                                     ,Shawarmax                                     ,6
1955,300,['Lebanese'],Bellandur,                                         3.3                                     ,Hot Box                                     ,4
1956,200,['Paan'],Basavanagudi,                                         3.2                                     ,Hello Paan Wala                                     ,4
1957,400,['Desserts'],Sadashiv Nagar,                                         3.4                                     ,The Chocolate Mansion                                     ,9
1958,400,"['Mughlai', 'North Indian', 'Chinese', 'Momos']",Electronic City,                                         3.3                                     ,Mughlai Kitchen                                     ,8
1959,200,['Chinese'],Indiranagar,                                         3.2                                     ,Food Town                                     ,5
1960,150,['Rolls'],Kaggadasapura,                                         3.2                                     ,Bombay Super Roll                                     ,4
1961,250,"['South Indian', 'Biryani']",KR Puram,                                         3.2                                     ,Svadistha Bhojana                                     ,4
1962,400,"['South Indian', 'Biryani']",Bellandur,                                         3.2                                     ,Kundavaram Home Foods                                     ,8
1963,250,"['Mithai', 'Desserts']",Kammanahalli,                                         3.7                                     ,The Baklava Company                                     ,13
1964,200,"['Bakery', 'Fast Food', 'Beverages']",Koramangala 7th Block,                                         3.9                                     ,Sweet Chariot                                     ,199
1965,150,['South Indian'],Malleshwaram,                                         4.2                                     ,Hotel Janatha                                     ,820
1966,400,"['South Indian', 'Kerala', 'Chinese', 'North Indian']",HSR,                                         3.9                                     ,Hotel Manu                                     ,425
1967,500,"['North Indian', 'Chinese', 'South Indian', 'Biryani']",Kalyan Nagar,                                         3.6                                     ,Little Imperial Restaurant                                     ,104
1968,350,"['North Indian', 'Chinese']",Sahakara Nagar,                                         3.5                                     ,Ayaan Paradise                                     ,51
1969,150,['South Indian'],Kumaraswamy Layout,                                         4.0                                     ,Davangere Butter Dosa Hotel                                     ,67
1970,"2,000","['North Indian', 'South Indian', 'Asian', 'Italian', 'Continental']","Svenska Design Hotel, Electronic City",                                         3.8                                     ,Soul Indian Specialty - Svenska Design Hotel                                     ,327
1971,150,['South Indian'],Seshadripuram,                                         4.3                                     ,Umesh Dosa Point                                     ,390
1972,"1,100","['North Indian', 'Mughlai']",Indiranagar,                                         4.0                                     ,Kund Indian Barbeque                                     ,912
1973,150,"['South Indian', 'Chinese']",HSR,                                         3.9                                     ,HSR SLV Fast Food                                     ,59
1974,200,"['Fast Food', 'Desserts', 'Sandwich', 'Beverages']",Jalahalli,                                         3.4                                     ,Raj's Cafe                                     ,11
1975,400,"['North Indian', 'Biryani', 'South Indian']",Sarjapur Road,                                         3.8                                     ,Old Bangalore Kitchen                                     ,24
1976,500,"['Andhra', 'Biryani', 'North Indian', 'Chinese', 'Kebab']",Sarjapur Road,                                         3.2                                     ,Amrutha Grand Restaurant                                     ,255
1977,400,"['South Indian', 'North Indian', 'Chinese']",Sarjapur Road,                                         3.8                                     ,Priyadarshini Veg                                     ,32
1978,250,['Biryani'],Whitefield,                                         3.5                                     ,Whitefield Dum Biriyani                                     ,14
1979,450,"['North Indian', 'Chinese']",Bannerghatta Road,                                         3.4                                     ,Guru Garden                                     ,129
1980,250,"['Ice Cream', 'Desserts', 'Beverages']",Bannerghatta Road,                                         3.6                                     ,Icekremos                                     ,14
1981,150,['South Indian'],Majestic,                                         4.1                                     ,Mudde Madappa Mess                                     ,117
1982,700,"['Singaporean', 'Sushi', 'Thai', 'Malaysian', 'Indonesian', 'Chinese']",Indiranagar,                                         4.0                                     ,Singapore Street                                     ,24
1983,600,"['North Indian', 'Mughlai', 'Biryani']",Koramangala 5th Block,                                         3.0                                     ,Lazeez                                     ,940
1984,200,"['South Indian', 'Chinese']",Jayanagar,                                         4.1                                     ,Mysuru Coffee Thindi                                     ,389
1985,450,"['Chinese', 'Hyderabadi', 'Bengali', 'North Indian']",BTM,                                         3.8                                     ,Kolkata Wings                                     ,50
1986,600,['North Indian'],Basavanagudi,                                         3.6                                     ,Timepass Dinner                                     ,327
1987,800,"['North Indian', 'Continental']",Mysore Road,                                         4.0                                     ,epulo - Vineyard Restaurant                                     ,125
1988,450,"['Andhra', 'Chinese']",Electronic City,                                         3.6                                     ,Andhra Bites                                     ,16
1989,250,"['South Indian', 'Kerala']",Jeevan Bhima Nagar,                                         3.7                                     ,DP Combo Meals                                     ,23
1990,500,"['Cafe', 'Fast Food']",Whitefield,                                         4.0                                     ,Bogineni Coffee                                     ,55
1991,500,"['Chinese', 'Momos']",JP Nagar,                                         4.1                                     ,Zhang's  - Chinese Restaurant                                     ,654
1992,500,"['North Indian', 'Chinese', 'Biryani']",Koramangala 5th Block,                                         4.2                                     ,Royal Treat                                     ,511
1993,150,['South Indian'],Basavanagudi,                                         4.1                                     ,Sri Guru Kottureshwara Davangere Benne Dosa                                     ,676
1994,200,['Fast Food'],BTM,                                         3.2                                     ,Maggi Hut                                     ,4
1995,"1,100","['Continental', 'Steak']",Frazer Town,                                         4.0                                     ,Elements Eatery                                     ,645
1996,150,['South Indian'],Vijay Nagar,                                         4.0                                     ,BDBD Banashri Davangere Benne Dose Hotel                                     ,54
1997,500,"['Cafe', 'Pizza', 'Desserts']",Ulsoor,                                         4.2                                     ,Moto Store & Café                                     ,438
1998,100,['Street Food'],Seshadripuram,                                         4.2                                     ,Bombay Vada Pav Corner                                     ,115
1999,"1,200","['North Indian', 'Chinese', 'Continental']",Indiranagar,                                         3.8                                     ,Raaga                                     ,317
2000,300,"['North Indian', 'Chinese']",RT Nagar,                                         3.0                                     ,Punjabi Authentic Food                                     ,150
2001,"1,300","['North Indian', 'Continental']",Marathahalli,                                         4.1                                     ,Brunchilly                                     ,300
2002,600,"['North Indian', 'Mughlai']",Malleshwaram,                                         4.2                                     ,The Green Path - Forgotten Food                                     ,1281
2003,650,"['Cafe', 'Continental', 'Steak']",Sahakara Nagar,                                         4.2                                     ,Cafe Nosh                                     ,654
2004,800,"['Chinese', 'Asian', 'Japanese']",Indiranagar,                                         4.1                                     ,Pot-O-Noodles                                     ,322
2005,750,"['Andhra', 'Biryani', 'North Indian']",KR Puram,                                         3.7                                     ,Mayuri Multicuisine Family Restaurant                                     ,150
2006,"1,000","['Cafe', 'Continental', 'American', 'Desserts']",Church Street,                                         4.1                                     ,The White Room - Coffee & Kitchen                                     ,2033
2007,400,"['North Indian', 'Chinese', 'Fast Food']",Ejipura,                                         3.6                                     ,Hunger Night King                                     ,121
2008,500,"['Bakery', 'Desserts']",Sarjapur Road,                                         3.6                                     ,Cake Delights                                     ,30
2009,300,['Desserts'],Sarjapur Road,                                         3.3                                     ,Ooty Chocolates                                     ,11
2010,350,['Street Food'],HBR Layout,                                         3.5                                     ,Mumbai On My Plate                                     ,9
2011,350,['North Indian'],Whitefield,                                         3.1                                     ,Multicuisine Kitchen                                     ,10
2012,250,"['North Indian', 'South Indian']",Vijay Nagar,                                         3.2                                     ,Attica Biryani                                     ,4
2013,250,['Bakery'],Kammanahalli,                                         3.3                                     ,Jerry Mama's                                     ,8
2014,500,"['North Indian', 'Chinese']",Bannerghatta Road,                                         3.2                                     ,Darbar Multi Cuisine Restaurant                                     ,4
2015,150,['Sandwich'],BTM,                                         3.6                                     ,Sandwich Mix                                     ,19
2016,400,['Gujarati'],HBR Layout,                                         3.6                                     ,Gujarati Rasthal                                     ,26
2017,500,"['North Indian', 'Mughlai', 'Biryani']",Rammurthy Nagar,                                         3.0                                     ,Food Time Now                                     ,10
2018,300,"['Street Food', 'American', 'Continental']",Indiranagar,                                         3.8                                     ,Street Fusion Imbisswagen                                     ,44
2019,300,"['Andhra', 'South Indian', 'Chinese']",Kalyan Nagar,                                         3.2                                     ,Taste Of Andhra                                     ,4
2020,700,"['North Indian', 'Chinese']",Kumaraswamy Layout,                                         3.5                                     ,Food Republic Resto                                     ,42
