,cost_for_two,cuisines,locality,rating,rest_name,votes
4864,300,"['North Indian', 'Chinese', 'Street Food']",KR Puram,                                         3.7                                     ,Lulu's Family Restaurant                                     ,136
4865,700,"['Italian', 'Pizza', 'Beverages']",Kumaraswamy Layout,                                         4.0                                     ,@Italy                                     ,355
4866,200,"['Beverages', 'Sandwich', 'Fast Food']",Electronic City,                                         3.9                                     ,Lassi Adda                                     ,105
4867,100,"['Tea', 'Street Food']",Rajarajeshwari Nagar,                                         3.2                                     ,Chai Naasta - The Desi Café                                     ,4
4868,200,"['North Indian', 'Chinese']",Yelahanka,                                         3.6                                     ,Anil Paratha Center                                     ,30
4869,300,"['Fast Food', 'Beverages']",Bannerghatta Road,                                         3.3                                     ,Berry Box Cafe                                     ,5
4870,800,"['North Indian', 'Continental', 'South Indian']",International Airport,                                         3.7                                     ,Tamarind - Signature Club Resort                                     ,24
4871,"1,000","['Chinese', 'North Indian', 'Cafe']",Richmond Road,                                         3.7                                     ,Cafe @ Elanza                                     ,148
4872,350,"['North Indian', 'Chinese']",Wilson Garden,                                         3.1                                     ,Hotel Ruchi Priya                                     ,38
4873,250,"['North Indian', 'Chinese']",BTM,                                         3.6                                     ,Cardamom-Ghar Ka Swad                                     ,20
4874,300,"['North Indian', 'Chinese', 'Mughlai', 'Desserts']",Marathahalli,                                         4.0                                     ,Bitebox                                     ,255
4875,"1,000","['Cafe', 'Fast Food', 'Desserts', 'Beverages']",Indiranagar,                                         3.7                                     ,Nanav Store And Cafe                                     ,40
4876,700,"['Pizza', 'Fast Food', 'Beverages']",Kengeri,                                         4.0                                     ,Zucca Pizzeria & Shakes                                     ,205
4877,350,"['North Indian', 'South Indian', 'Continental', 'Mexican', 'Chinese', 'American', 'Juices']",Rajajinagar,                                         3.7                                     ,Signature Feast                                     ,17
4878,"1,000","['North Indian', 'Chinese', 'Andhra']",Electronic City,                                         2.7                                     ,Green Family Bar & Restaurant                                     ,63
